x,y,z
-0.0551710448,-0.4774568607,0.7371345691
-0.0563916406,-0.4725381172,0.7360601948
-0.0573823686,-0.4677056133,0.7347992689
-0.0581643209,-0.4629454731,0.7333572536
-0.0587591412,-0.4582412968,0.7317393040
-0.0591879448,-0.4535744632,0.7299497191
-0.0594704016,-0.4489243114,0.7279915567
-0.0596240138,-0.4442682783,0.7258664348
-0.0596636106,-0.4395820835,0.7235745330
-0.0596010758,-0.4348400530,0.7211147989
-0.0594453175,-0.4300156569,0.7184853555
-0.0592024741,-0.4250823113,0.7156840918
-0.0588763429,-0.4200144526,0.7127094051
-0.0584689937,-0.4147888503,0.7095610451
-0.0579815200,-0.4093860789,0.7062409964
-0.0574148590,-0.4037920308,0.7027543174
-0.0567706048,-0.3979993235,0.6991098497
-0.0560517360,-0.3920084451,0.6953207109
-0.0552631816,-0.3858284903,0.6914044953
-0.0544121674,-0.3794773682,0.6873831283
-0.0535083038,-0.3729814116,0.6832823541
-0.0525634066,-0.3663743740,0.6791308718
-0.0515910676,-0.3596958681,0.6749591754
-0.0257425766,0.0571671805,1.8545677111
-0.0262151629,0.0565837152,1.8482071567
-0.0266666951,0.0559882326,1.8418667133
-0.0270969359,0.0553883372,1.8355523158
-0.0275064820,0.0547896474,1.8292676986
-0.0278966904,0.0541955640,1.8230140604
-0.0282695583,0.0536071596,1.8167898443
-0.0286275645,0.0530231953,1.8105906444
-0.0289734797,0.0524402744,1.8044092507
-0.0293101564,0.0518531284,1.7982358302
-0.0296403081,0.0512550285,1.7920582437
-0.0299662875,0.0506383064,1.7858624858
-0.0302898740,0.0499949626,1.7796332354
-0.0306120789,0.0493173349,1.7733544951
-0.0309329774,0.0485987943,1.7670102944
-0.0312515729,0.0478344323,1.7605854302
-0.0315656997,0.0470217017,1.7540662101
-0.0318719688,0.0461609725,1.7474411667
-0.0321657577,0.0452559662,1.7407017088
-0.0324412460,0.0443140359,1.7338426752
-0.0326914974,0.0433462662,1.7268627628
-0.0329085844,0.0423673752,1.7197648034
-0.0330837541,0.0413954105,1.7125558717
-0.0332076306,0.0404512428,1.7052472138
-0.0332704483,0.0395578736,1.6978539979
-0.0332623100,0.0387395838,1.6903948947
-0.0331734629,0.0380209614,1.6828915073
-0.0329945841,0.0374258553,1.6753676781
0.3221541530,0.6879217708,0.7144021915
0.3196215481,0.6822255935,0.7127404701
0.3171130389,0.6765874322,0.7111292680
0.3146507310,0.6710295878,0.7095759803
0.3122540342,0.6655711965,0.7080876313
0.3099392551,0.6602276032,0.7066704991
0.3077193251,0.6550099057,0.7053297786
0.3056036661,0.6499246836,0.7040692997
0.3035981916,0.6449739109,0.7028913109
0.3017054300,0.6401550439,0.7017963337
0.2999247560,0.6354612655,0.7007830909
0.2982527061,0.6308818624,0.6998485061
0.2966833595,0.6264027083,0.6989877697
0.2952087592,0.6220068264,0.6981944647
0.2938193535,0.6176750052,0.6974607443
0.2925044418,0.6133864470,0.6967775520
0.2912526075,0.6091194317,0.6961348771
0.2900521286,0.6048519801,0.6955220357
0.2888913578,0.6005625084,0.6949279695
0.2877590663,0.5962304632,0.6943415546
0.2866447485,0.5918369294,0.6937519119
0.2855388834,0.5873651996,0.6931487107
0.2844331520,0.5828012942,0.6925224560
0.2833206083,0.5781344176,0.6918647510
0.2821958000,0.5733573325,0.6911685243
